B080,UnixEpochMilliseconds
-2061,1648728710186
-2061,1648728710186
-2061,1648728710186
-2058,1648728710186
-2063,1648728710186
-2058,1648728710186
-2054,1648728710186
-2074,1648728710186
-2064,1648728710186
-2048,1648728710186
-2056,1648728710186
-2079,1648728710186
-2071,1648728710186
-2045,1648728710186
-2052,1648728710186
-2045,1648728710186
-2060,1648728710186
-2062,1648728710186
-2064,1648728710186
-2057,1648728710186
-2043,1648728710186
-2077,1648728710186
-2066,1648728710186
-2053,1648728710186
-2035,1648728710186
-2035,1648728710186
-2038,1648728710186
-2016,1648728710186
-2039,1648728710186
-2036,1648728710186
-2020,1648728710186
-2040,1648728710186
-2060,1648728710186
-2047,1648728710186
-2038,1648728710186
-2034,1648728710186
-2039,1648728710186
-2045,1648728710186
-2024,1648728710186
-2041,1648728710186
-2042,1648728710186
-2035,1648728710186
-2056,1648728710186
-2052,1648728710186
-2057,1648728710186
-2060,1648728710186
-2056,1648728710186
-2058,1648728710186
-2066,1648728710186
-2071,1648728710186
-2062,1648728710186
-2061,1648728710186
-2068,1648728710186
-2085,1648728710186
-2079,1648728710186
-2049,1648728710186
-2046,1648728710186
-2054,1648728710186
-2062,1648728710186
-2058,1648728710186
-2060,1648728710186
-2056,1648728710186
-2034,1648728710186
-2036,1648728710186
-2050,1648728710186
-2022,1648728710186
-2027,1648728710186
-2048,1648728710186
-2038,1648728710186
-2016,1648728710186
-2021,1648728710186
-2040,1648728710186
-2015,1648728710186
-2021,1648728710186
-2030,1648728710186
-2038,1648728710186
-2052,1648728710186
-2057,1648728710186
-2052,1648728710186
-2054,1648728710186
-2038,1648728710186
-2037,1648728710186
-2040,1648728710186
-2039,1648728710186
-2064,1648728710186
-2057,1648728710186
-2060,1648728710186
-2050,1648728710186
-2058,1648728710186
-2066,1648728710186
-2065,1648728710186
-2062,1648728710186
-2061,1648728710186
-2059,1648728710186
-2048,1648728710186
-2044,1648728710186
-2043,1648728710186
-2044,1648728710186
-2049,1648728710186
-2041,1648728710186
-2036,1648728710186
-2044,1648728710186
-2034,1648728710186
-2042,1648728710186
-2044,1648728710186
-2043,1648728710186
-2035,1648728710186
-2027,1648728710186
-2019,1648728710186
-2023,1648728710186
-2024,1648728710186
-2014,1648728710186
-2028,1648728710186
-2021,1648728710186
-2052,1648728710186
-2061,1648728710186
-2041,1648728710186
-2048,1648728710186
-2044,1648728710186
-2064,1648728710186
-2045,1648728710186
-2034,1648728710186
-2049,1648728710186
-2050,1648728710186
-2052,1648728710186
-2054,1648728710186
-2041,1648728710186
-2048,1648728710186
-2054,1648728710186
-2045,1648728710186
-2070,1648728710186
-2072,1648728710186
-2077,1648728710186
-2063,1648728710186
-2049,1648728710186
-2050,1648728710186
-2043,1648728710186
-2047,1648728710186
-2039,1648728710186
-2046,1648728710186
-2066,1648728710186
-2053,1648728710186
-2033,1648728710186
-2040,1648728710186
-2021,1648728710186
-2031,1648728710186
-2023,1648728710186
-2027,1648728710186
-2046,1648728710186
-2051,1648728710186
-2040,1648728710186
-2022,1648728710186
-2040,1648728710186
-2034,1648728710186
-2028,1648728710186
-2046,1648728710186
-2046,1648728710186
-2025,1648728710186
-2017,1648728710186
-2024,1648728710186
-2035,1648728710186
-2045,1648728710186
-2052,1648728710186
-2054,1648728710186
-2056,1648728710186
-2037,1648728710186
-2053,1648728710186
-2066,1648728710186
-2059,1648728710186
-2063,1648728710186
-2055,1648728710186
-2062,1648728710186
-2055,1648728710186
-2062,1648728710186
-2077,1648728710186
-2063,1648728710186
-2049,1648728710186
-2068,1648728710186
-2061,1648728710186
-2035,1648728710186
-2039,1648728710186
-2055,1648728710186
-2059,1648728710186
-2063,1648728710186
-2067,1648728710186
-2053,1648728710186
-2036,1648728710186
-2041,1648728710186
-2039,1648728710186
-2031,1648728710186
-2029,1648728710186
-2027,1648728710186
-2034,1648728710186
-2045,1648728710186
-2034,1648728710186
-2025,1648728710186
-2050,1648728710186
-2040,1648728710186
-2021,1648728710186
-2019,1648728710186
-2023,1648728710186
-2033,1648728710186
-2055,1648728710186
-2065,1648728710186
-2081,1648728710186
-2067,1648728710186
-2059,1648728710186
-2057,1648728710186
-2058,1648728710186
-2063,1648728710186
-2058,1648728710186
-2070,1648728710186
-2064,1648728710186
-2070,1648728710186
-2067,1648728710186
-2059,1648728710186
-2066,1648728710186
-2053,1648728710186
-2057,1648728710186
-2061,1648728710186
-2056,1648728710186
-2067,1648728710186
-2065,1648728710186
-2036,1648728710186
-2038,1648728710186
-2055,1648728710186
-2050,1648728710186
-2037,1648728710186
-2038,1648728710186
-2047,1648728710186
-2057,1648728710186
-2064,1648728710186
-2057,1648728710186
-2070,1648728710186
-2037,1648728710186
-2035,1648728710186
-2069,1648728710186
-2055,1648728710186
-2044,1648728710186
-2040,1648728710186
-2066,1648728710186
-2068,1648728710186
-2049,1648728710186
-2059,1648728710186
-2060,1648728710186
-2065,1648728710186
-2066,1648728710186
-2063,1648728710186
-2064,1648728710186
-2066,1648728710186
-2056,1648728710186
-2064,1648728710186
-2054,1648728710186
-2050,1648728710186
-2082,1648728710186
-2063,1648728710186
-2052,1648728710186
-2046,1648728710186
-2031,1648728710186
-2041,1648728710186
-2060,1648728710186
-2062,1648728710186
-2058,1648728710186
-2063,1648728710186
-2049,1648728710186
-2047,1648728710186
-2045,1648728710186
-2052,1648728710186
-2063,1648728710186
-2058,1648728710186
-2046,1648728710186
-2052,1648728710186
-2055,1648728710186
-2053,1648728710186
-2042,1648728710186
-2041,1648728710186
-2054,1648728710186
-2039,1648728710186
-2031,1648728710186
-2044,1648728710186
-2055,1648728710186
-2035,1648728710186
-2045,1648728710186
-2046,1648728710186
-2036,1648728710186
-2044,1648728710186
-2058,1648728710186
-2066,1648728710186
-2056,1648728710186
-2040,1648728710186
-2048,1648728710186
-2068,1648728710186
-2058,1648728710186
-2051,1648728710186
-2052,1648728710186
-2042,1648728710186
-2032,1648728710186
-2040,1648728710186
-2054,1648728710186
-2044,1648728710186
-2046,1648728710186
-2054,1648728710186
-2032,1648728710186
-2034,1648728710186
-2054,1648728710186
-2032,1648728710186
-2034,1648728710186
-2039,1648728710186
-2037,1648728710186
-2038,1648728710186
-2034,1648728710186
-2033,1648728710186
-2046,1648728710186
-2051,1648728710186
-2034,1648728710186
-2055,1648728710186
-2044,1648728710186
-2043,1648728710186
-2047,1648728710186
-2045,1648728710186
-2043,1648728710186
-2050,1648728710186
-2076,1648728710186
-2069,1648728710186
-2064,1648728710186
-2060,1648728710186
-2047,1648728710186
-2054,1648728710186
-2062,1648728710186
-2052,1648728710186
-2054,1648728710186
-2059,1648728710186
-2054,1648728710186
